,Name,Year,GEOGRAPHY,GEOGRAPHY,GEOGRAPHY,GEOGRAPHY,GEOGRAPHY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,REALITY,HUMAN FACTOR,HUMAN FACTOR,HUMAN FACTOR,HUMAN FACTOR,HUMAN FACTOR,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,DOMAINS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,GOALS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MEANS,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,MY APPROACH,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME,CONTENT TO ME
,Name,Year,Europe,Nrth America,Middle East,Asia,Sth America,Void,Non-place,Space,Nature,Development,Suburbia,Urbanisation,Sprawl,One Building,Part of a building,City Center,Grid/Order,Interior,Poster,Screen,Facade,Geographically Specific,Public Space,Private Space,Model,Plan,Politics,Corporate,Private,Public,Interaction,Advertising / Promotion,Philosophy,Sociology,Communication,Urbanity,Science,Entertainment / Leisure,Industry,Information,Art,Architecture,Design,Public Service,Transportation,Nature,Control,Power,Consuming,Knowledge,Information,Surveillance,Security,Money Wealth,Change,Progress,Community,Empowerment,Decoration,Escape,Symbolism,Globalisation,Mobility,Visibility,Fun,Confrontation,Exaggaration,Exclusivity,Conditioning,Repetition,Experimentation,Celebration,Chaos,Presence,Selection,Isolation,Manipulation,Persuasion,Promise,Cooperation,Variety,Improvisation,Destruction,Reconstruction,Simplification,Planning,Constrainment,System,About the medium,Documentary,Abstraction,Framing,Scaling,Reflection,Symmetry,Repeating elements,Composite,Front facing,Angle,Looking Up,Bird Eye View,Importance of Detail,Blur,Video,Long Exposure,Loop,Time Lapse,Crossover,Layers,Photoshop,Archetype,Metaphor,Location focus,Desire,Greed,Competition,Illusion,Attraction / Play,Memory,Solution,Contemplation,Images Rule,Movie references,Game references,Future Orientation,Ambition,Tradition,24/Jul,Digitalisation,Degradation,Loneliness,Anonimity,Inhabitation,Individuality,Identity,Austerity,Limitation,Convention,Struggle,Interference,Substitution,Alienation,Space & Time,Pretention,Addiction,Belief/disbelief,High/Kick
0,CH-1995-1,1995,1,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
1,CH-1995-3,1995,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7,0.3,0.2,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.0,0.2,0.5,0.5,0.5,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.4,0.5,0.3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0,0.0
2,E-1995-4,1995,1,0,0,0,0,0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,E-1995-7,1995,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,E-1995-19,1995,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,E-1995-23,1995,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,E-1995-34,1995,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,I-1995-2,1995,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,I-1995-12,1995,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
